maille;date_jour;jour_semaine;semaine;annee;donnees;conso_corrigee;borne_inf;borne_sup;borne_moyenne;conso_brute;borne_inf_brute;borne_sup_brute;borne_moyenne_brute
semaine;2025-07-13;28_7;28;2022;CPRC;46385,6205527031;NA;NA;NA;47800,5655422865;NA;NA;NA
semaine;2025-07-13;28_7;28;2021;CPRC;46081,3595825643;NA;NA;NA;45380,6545304810;NA;NA;NA
semaine;2025-07-13;28_7;28;2020;CPRC;46321,5133502917;NA;NA;NA;46279,7236044583;NA;NA;NA
semaine;2025-07-06;27_7;27;2025;CPRC;47242,9041767553;47494,1959145274;49385,8247547875;48245,5866807981;49427,9396017553;47426,4597157333;50221,2135672875;48695,9889432981
semaine;2025-07-06;27_7;27;2024;CPRC;45195,5099586026;NA;NA;NA;44600,0603419360;NA;NA;NA
semaine;2025-07-06;27_7;27;2023;CPRC;45197,3358374124;NA;NA;NA;45154,4981540791;NA;NA;NA
semaine;2025-07-06;27_7;27;2022;CPRC;46925,0750361125;NA;NA;NA;47088,7361694458;NA;NA;NA
semaine;2025-07-06;27_7;27;2021;CPRC;46483,9343348442;NA;NA;NA;46030,4036265109;NA;NA;NA
semaine;2025-07-06;27_7;27;2020;CPRC;45472,7887180417;NA;NA;NA;45281,8063388750;NA;NA;NA
semaine;2025-06-29;26_7;26;2025;CPRC;45616,2874754428;46946,9943912528;48270,3069725951;47680,2301467788;47038,6708337762;47471,4123293875;49674,1823142618;48014,1565690010
semaine;2025-06-29;26_7;26;2024;CPRC;44030,6147731554;NA;NA;NA;45089,3632273221;NA;NA;NA
semaine;2025-06-29;26_7;26;2023;CPRC;43773,3091576083;NA;NA;NA;44579,4186867749;NA;NA;NA
semaine;2025-06-29;26_7;26;2022;CPRC;46165,2765701333;NA;NA;NA;45889,1920534667;NA;NA;NA
semaine;2025-06-29;26_7;26;2021;CPRC;46216,5554082051;NA;NA;NA;45868,1768707051;NA;NA;NA
semaine;2025-06-29;26_7;26;2020;CPRC;44386,9484586500;NA;NA;NA;45432,1330419833;NA;NA;NA
semaine;2025-06-22;25_7;25;2025;CPRC;44659,6166792692;46419,5524700650;49566,7130376083;47425,4936350237;45866,7403959359;46613,3164908983;50637,5508584417;47737,2266683570
semaine;2025-06-22;25_7;25;2024;CPRC;44440,2068387748;NA;NA;NA;44555,1103554415;NA;NA;NA
semaine;2025-06-22;25_7;25;2023;CPRC;43278,2904733291;NA;NA;NA;44375,1363524958;NA;NA;NA
semaine;2025-06-22;25_7;25;2022;CPRC;46143,1107516542;NA;NA;NA;46983,0204099875;NA;NA;NA
semaine;2025-06-22;25_7;25;2021;CPRC;45837,9851720255;NA;NA;NA;45616,0467345255;NA;NA;NA
semaine;2025-06-22;25_7;25;2020;CPRC;44447,0138458167;NA;NA;NA;44226,1342791500;NA;NA;NA
semaine;2025-06-15;24_7;24;2025;CPRC;44399,1979003019;46618,2593223271;47934,9954371458;47172,8869836516;45389,3649628019;46734,4606321990;48342,0956038125;47470,5140211516
semaine;2025-06-15;24_7;24;2024;CPRC;43963,1245071831;NA;NA;NA;44050,8939113498;NA;NA;NA
semaine;2025-06-15;24_7;24;2023;CPRC;43140,7352493333;NA;NA;NA;44236,4451951666;NA;NA;NA
semaine;2025-06-15;24_7;24;2022;CPRC;46433,9043440625;NA;NA;NA;47781,0416107292;NA;NA;NA
semaine;2025-06-15;24_7;24;2021;CPRC;45551,1927812593;NA;NA;NA;47271,4000520927;NA;NA;NA
semaine;2025-06-15;24_7;24;2020;CPRC;44019,1661792917;NA;NA;NA;44350,8920001250;NA;NA;NA
semaine;2025-06-08;23_7;23;2025;CPRC;43873,6666623331;46045,9321527583;48129,5306743417;46885,7408111332;43884,2077998331;46390,3655360917;48394,0697618417;47115,6859394319
semaine;2025-06-08;23_7;23;2024;CPRC;44267,2735566248;NA;NA;NA;44389,4904066248;NA;NA;NA
semaine;2025-06-08;23_7;23;2023;CPRC;42816,3641722458;NA;NA;NA;43636,1016305791;NA;NA;NA
semaine;2025-06-08;23_7;23;2022;CPRC;45710,4452708177;NA;NA;NA;45728,9214999844;NA;NA;NA
semaine;2025-06-08;23_7;23;2021;CPRC;45252,9416261272;NA;NA;NA;45759,9728927939;NA;NA;NA
semaine;2025-06-08;23_7;23;2020;CPRC;43146,3141250000;NA;NA;NA;43507,9579895833;NA;NA;NA
semaine;2025-06-01;22_7;22;2025;CPRC;43065,9843285119;45683,2595191811;47922,1505125042;46922,4869066108;43287,3668910120;46285,5772587644;48547,0701458375;47492,4256696317
semaine;2025-06-01;22_7;22;2024;CPRC;44334,5835076887;NA;NA;NA;44822,8363243554;NA;NA;NA
